DATE,CO2
2022-1-1 0:00,435
2022-1-1 12:00,435
2022-1-2 0:00,456
2022-1-2 12:00,448
2022-1-3 0:00,522
2022-1-3 12:00,563
2022-1-4 0:00,530
2022-1-4 12:00,482
2022-1-5 0:00,459
2022-1-5 12:00,471
2022-1-6 0:00,469
2022-1-6 12:00,476
2022-1-7 0:00,491
2022-1-7 12:00,506
2022-1-8 0:00,456
2022-1-8 12:00,446
2022-1-9 0:00,434
2022-1-9 12:00,432
2022-1-10 0:00,495
2022-1-10 12:00,496
2022-1-11 0:00,503
2022-1-11 12:00,539
2022-1-12 0:00,514
2022-1-12 12:00,539
2022-1-13 0:00,511
2022-1-13 12:00,539
2022-1-14 0:00,524
2022-1-14 12:00,540
2022-1-15 0:00,490
2022-1-15 12:00,481
2022-1-16 0:00,490
2022-1-16 12:00,487
2022-1-17 0:00,540
2022-1-17 12:00,538
2022-1-18 0:00,526
2022-1-18 12:00,534
2022-1-19 0:00,518
2022-1-19 12:00,511
2022-1-20 0:00,481
2022-1-20 12:00,490
2022-1-21 0:00,464
2022-1-21 12:00,493
2022-1-22 0:00,452
2022-1-22 12:00,452
2022-1-23 0:00,463
2022-1-23 12:00,457
2022-1-24 0:00,494
2022-1-24 12:00,522
2022-1-25 0:00,502
2022-1-25 12:00,517
2022-1-26 0:00,492
2022-1-26 12:00,513
2022-1-27 0:00,486
2022-1-27 12:00,506
2022-1-28 0:00,481
2022-1-28 12:00,508
2022-1-29 0:00,472
2022-1-29 12:00,512
2022-1-30 0:00,458
2022-1-30 12:00,455
2022-1-31 0:00,503
2022-1-31 12:00,489
2022-2-1 0:00,464
2022-2-1 12:00,476
2022-2-2 0:00,474
2022-2-2 12:00,500
2022-2-3 0:00,475
2022-2-3 12:00,484
2022-2-4 0:00,494
2022-2-4 12:00,493
2022-2-5 0:00,455
2022-2-5 12:00,435
2022-2-6 0:00,443
2022-2-6 12:00,440
2022-2-7 0:00,463
2022-2-7 12:00,490
2022-2-8 0:00,482
2022-2-8 12:00,524
2022-2-9 0:00,498
2022-2-9 12:00,495
2022-2-10 0:00,514
2022-2-10 12:00,489
2022-2-11 0:00,472
2022-2-11 12:00,478
2022-2-12 0:00,449
2022-2-12 12:00,447
2022-2-13 0:00,455
2022-2-13 12:00,437
2022-2-14 0:00,451
2022-2-14 12:00,498
2022-2-15 0:00,475
2022-2-15 12:00,497
2022-2-16 0:00,495
2022-2-16 12:00,528
2022-2-17 0:00,499
2022-2-17 12:00,488
2022-2-18 0:00,479
2022-2-18 12:00,481
2022-2-19 0:00,442
2022-2-19 12:00,438
2022-2-20 0:00,446
2022-2-20 12:00,443
2022-2-21 0:00,457
2022-2-21 12:00,460
2022-2-22 0:00,458
2022-2-22 12:00,467
2022-2-23 0:00,463
2022-2-23 12:00,470
2022-2-24 0:00,479
2022-2-24 12:00,467
2022-2-25 0:00,455
2022-2-25 12:00,461
2022-2-26 0:00,440
2022-2-26 12:00,440
2022-2-27 0:00,451
2022-2-27 12:00,446
2022-2-28 0:00,481
2022-2-28 12:00,531
2022-3-1 0:00,492
2022-3-1 12:00,492
2022-3-2 0:00,511
2022-3-2 12:00,490
2022-3-3 0:00,490
2022-3-3 12:00,470
2022-3-4 0:00,474
2022-3-4 12:00,490
2022-3-5 0:00,439
2022-3-5 12:00,468
2022-3-6 0:00,435
2022-3-6 12:00,423
2022-3-7 0:00,480
2022-3-7 12:00,517
2022-3-8 0:00,488
2022-3-8 12:00,497
2022-3-9 0:00,490
2022-3-9 12:00,511
2022-3-10 0:00,486
2022-3-10 12:00,478
2022-3-11 0:00,475
2022-3-11 12:00,490
2022-3-12 0:00,424
2022-3-12 12:00,418
2022-3-13 0:00,421
2022-3-13 12:00,419
2022-3-14 0:00,468
2022-3-14 12:00,506
2022-3-15 0:00,488
2022-3-15 12:00,473
2022-3-16 0:00,500
2022-3-16 12:00,493
2022-3-17 0:00,510
2022-3-17 12:00,476
2022-3-18 0:00,470
2022-3-18 12:00,483
2022-3-19 0:00,457
2022-3-19 12:00,560
2022-3-20 0:00,469
2022-3-20 12:00,438
2022-3-21 0:00,491
2022-3-21 12:00,497
2022-3-22 0:00,475
2022-3-22 12:00,473
2022-3-23 0:00,485
2022-3-23 12:00,503
2022-3-24 0:00,503
2022-3-24 12:00,464
2022-3-25 0:00,463
2022-3-25 12:00,484
2022-3-26 0:00,435
2022-3-26 12:00,442
2022-3-27 0:00,432
2022-3-27 12:00,415
2022-3-28 0:00,476
2022-3-28 12:00,473
2022-3-29 0:00,491
2022-3-29 12:00,512
2022-3-30 0:00,449
2022-3-30 12:00,472
2022-3-31 0:00,464
2022-3-31 12:00,449
2022-4-1 0:00,449
2022-4-1 12:00,480
2022-4-2 0:00,414
2022-4-2 12:00,414
2022-4-3 0:00,414
2022-4-3 12:00,414
2022-4-4 0:00,475
2022-4-4 12:00,498
2022-4-5 0:00,519
2022-4-5 12:00,462
2022-4-6 0:00,488
2022-4-6 12:00,484
2022-4-7 0:00,478
2022-4-7 12:00,472
2022-4-8 0:00,468
2022-4-8 12:00,484
2022-4-9 0:00,433
2022-4-9 12:00,426
2022-4-10 0:00,429
2022-4-10 12:00,423
2022-4-11 0:00,498
2022-4-11 12:00,490
2022-4-12 0:00,476
2022-4-12 12:00,488
2022-4-13 0:00,491
2022-4-13 12:00,465
2022-4-14 0:00,497
2022-4-14 12:00,459
2022-4-15 0:00,499
2022-4-15 12:00,461
2022-4-16 0:00,442
2022-4-16 12:00,426
2022-4-17 0:00,430
2022-4-17 12:00,421
2022-4-18 0:00,434
2022-4-18 12:00,420
