Date,Current Hourly Electricity,Current Hourly Heating,Current Hourly Water
2022-1-1 0:00,,,
2022-1-1 1:00,109,76.1,0
2022-1-1 2:00,109,83.5,0
2022-1-1 3:00,108,91,0
2022-1-1 4:00,114,81.7,0
2022-1-1 5:00,119,72.4,0
2022-1-1 6:00,116,89.1,0
2022-1-1 7:00,113,106,0
2022-1-1 8:00,116,90.2,0
2022-1-1 9:00,119,74.5,0
2022-1-1 10:00,111,40.1,0
2022-1-1 11:00,104,5.66,0
2022-1-1 12:00,105,22.5,0
2022-1-1 13:00,106,39.3,0
2022-1-1 14:00,112,22.7,0.099
2022-1-1 15:00,118,6.1,0.198
2022-1-1 16:00,116,7.08,0.099
2022-1-1 17:00,114,8.06,0
2022-1-1 18:00,120,37,0
2022-1-1 19:00,126,66,0
2022-1-1 20:00,119,74.3,0
2022-1-1 21:00,111,82.6,0
2022-1-1 22:00,113,100,0
2022-1-1 23:00,116,118,0
2022-1-2 0:00,115,123,0
2022-1-2 1:00,114,129,0
2022-1-2 2:00,114,132,0
2022-1-2 3:00,114,135,0
2022-1-2 4:00,114,124,0
2022-1-2 5:00,114,112,0
2022-1-2 6:00,116,142,0
2022-1-2 7:00,119,171,0
2022-1-2 8:00,130,139,0.00755
2022-1-2 9:00,142,106,0.0151
2022-1-2 10:00,126,109,0.00755
2022-1-2 11:00,110,113,0
2022-1-2 12:00,114,96.7,0
2022-1-2 13:00,118,80.8,0
2022-1-2 14:00,118,84,0
2022-1-2 15:00,119,87.3,0
2022-1-2 16:00,119,94.2,0
2022-1-2 17:00,119,101,0
2022-1-2 18:00,123,95.3,0
2022-1-2 19:00,126,89.4,0
2022-1-2 20:00,120,103,0
2022-1-2 21:00,114,116,0
2022-1-2 22:00,120,111,0
2022-1-2 23:00,127,106,0
2022-1-3 0:00,119,116,0
2022-1-3 1:00,111,126,0
2022-1-3 2:00,123,120,0.227
2022-1-3 3:00,135,114,0.454
2022-1-3 4:00,167,219,23.3
2022-1-3 5:00,199,323,46.1
2022-1-3 6:00,261,337,40.6
2022-1-3 7:00,324,350,35.1
2022-1-3 8:00,332,335,25.4
2022-1-3 9:00,340,320,15.7
2022-1-3 10:00,334,281,21.7
2022-1-3 11:00,329,242,27.6
2022-1-3 12:00,303,226,23.7
2022-1-3 13:00,277,209,19.8
2022-1-3 14:00,273,195,10.4
2022-1-3 15:00,270,182,0.883
2022-1-3 16:00,253,190,0.441
2022-1-3 17:00,236,198,0
2022-1-3 18:00,216,205,0
2022-1-3 19:00,195,212,0
2022-1-3 20:00,162,185,0
2022-1-3 21:00,128,157,0
2022-1-3 22:00,123,133,0
2022-1-3 23:00,118,108,0
2022-1-4 0:00,118,89.5,0
2022-1-4 1:00,118,70.8,0
2022-1-4 2:00,121,119,0.238
2022-1-4 3:00,123,168,0.476
2022-1-4 4:00,168,220,16.5
2022-1-4 5:00,213,272,32.6
2022-1-4 6:00,256,306,36.5
2022-1-4 7:00,300,340,40.5
2022-1-4 8:00,303,285,25.4
2022-1-4 9:00,306,231,10.2
2022-1-4 10:00,310,195,17.3
2022-1-4 11:00,314,159,24.4
2022-1-4 12:00,301,122,22.7
2022-1-4 13:00,288,84.4,20.9
2022-1-4 14:00,275,89.3,10.5
2022-1-4 15:00,262,94.2,0
2022-1-4 16:00,248,107,0
2022-1-4 17:00,235,119,0
2022-1-4 18:00,219,128,0
2022-1-4 19:00,203,137,0
2022-1-4 20:00,166,129,0
2022-1-4 21:00,128,122,0
2022-1-4 22:00,131,81.5,0
2022-1-4 23:00,133,40.7,0
2022-1-5 0:00,127,93.3,12.6
2022-1-5 1:00,120,146,25.1
2022-1-5 2:00,131,156,28.8
2022-1-5 3:00,141,166,32.5
2022-1-5 4:00,174,245,33.4
2022-1-5 5:00,206,324,34.2
2022-1-5 6:00,257,329,28.3
2022-1-5 7:00,307,334,22.4
2022-1-5 8:00,313,331,16.8
2022-1-5 9:00,318,329,11.1
2022-1-5 10:00,328,325,17.3
2022-1-5 11:00,338,320,23.5
2022-1-5 12:00,313,317,21.8
2022-1-5 13:00,289,314,20.1
2022-1-5 14:00,280,284,10.1
2022-1-5 15:00,272,254,0.0627
2022-1-5 16:00,250,264,0.0495
2022-1-5 17:00,228,275,0.0363
2022-1-5 18:00,210,275,0.0182
2022-1-5 19:00,192,276,0
2022-1-5 20:00,164,270,0
2022-1-5 21:00,135,263,0
2022-1-5 22:00,129,201,0
2022-1-5 23:00,123,139,0
2022-1-6 0:00,123,118,0
2022-1-6 1:00,124,96,0
2022-1-6 2:00,126,133,0.0421
2022-1-6 3:00,128,171,0.0841
2022-1-6 4:00,170,254,29.2
2022-1-6 5:00,211,337,58.3
2022-1-6 6:00,259,381,46.2
2022-1-6 7:00,306,425,34.1
2022-1-6 8:00,306,354,23.8
2022-1-6 9:00,307,283,13.5
2022-1-6 10:00,326,286,17.3
2022-1-6 11:00,346,289,21.1
2022-1-6 12:00,311,286,20.5
2022-1-6 13:00,276,283,20
2022-1-6 14:00,273,228,10.3
2022-1-6 15:00,270,174,0.586
2022-1-6 16:00,250,206,0.332
2022-1-6 17:00,229,239,0.0783
2022-1-6 18:00,211,224,0.0392
2022-1-6 19:00,192,209,0
2022-1-6 20:00,162,212,0
2022-1-6 21:00,131,214,0
2022-1-6 22:00,128,152,0
2022-1-6 23:00,124,90.5,0
2022-1-7 0:00,123,115,0
2022-1-7 1:00,123,139,0
2022-1-7 2:00,126,143,0.203
2022-1-7 3:00,129,146,0.406
2022-1-7 4:00,177,270,14.3
2022-1-7 5:00,225,393,28.2
2022-1-7 6:00,272,422,33.6
2022-1-7 7:00,319,450,38.9
2022-1-7 8:00,323,418,27.8
2022-1-7 9:00,327,386,16.7
2022-1-7 10:00,324,359,20.3
2022-1-7 11:00,320,332,23.9
2022-1-7 12:00,303,290,24
2022-1-7 13:00,285,247,24.1
2022-1-7 14:00,279,269,12.1
2022-1-7 15:00,273,290,0
2022-1-7 16:00,253,287,0
2022-1-7 17:00,233,284,0
2022-1-7 18:00,218,268,0.0677
2022-1-7 19:00,203,253,0.135
2022-1-7 20:00,168,254,0.0677
2022-1-7 21:00,133,256,0
2022-1-7 22:00,129,174,0
2022-1-7 23:00,125,92.5,0
2022-1-8 0:00,130,110,0
2022-1-8 1:00,136,128,0
2022-1-8 2:00,130,144,0
2022-1-8 3:00,124,159,0
2022-1-8 4:00,132,127,0
2022-1-8 5:00,141,94.5,0
2022-1-8 6:00,133,131,0
2022-1-8 7:00,125,168,0
2022-1-8 8:00,126,147,0
2022-1-8 9:00,127,126,0
2022-1-8 10:00,124,134,0.147
2022-1-8 11:00,120,141,0.293
2022-1-8 12:00,119,126,0.248
2022-1-8 13:00,118,111,0.203
2022-1-8 14:00,128,119,0.101
2022-1-8 15:00,139,126,0
2022-1-8 16:00,132,158,0
2022-1-8 17:00,125,190,0
2022-1-8 18:00,134,161,0
2022-1-8 19:00,143,131,0
2022-1-8 20:00,132,140,0
2022-1-8 21:00,121,149,0
2022-1-8 22:00,122,123,0
2022-1-8 23:00,124,97.5,0
2022-1-9 0:00,132,114,0
2022-1-9 1:00,141,131,0
2022-1-9 2:00,132,143,0
2022-1-9 3:00,123,154,0
2022-1-9 4:00,130,140,0
2022-1-9 5:00,138,126,0
2022-1-9 6:00,133,152,0
2022-1-9 7:00,127,178,0
2022-1-9 8:00,132,153,0
2022-1-9 9:00,137,127,0
2022-1-9 10:00,141,141,0.0392
2022-1-9 11:00,145,154,0.0783
2022-1-9 12:00,138,147,0.0392
2022-1-9 13:00,131,139,0
2022-1-9 14:00,136,120,0
2022-1-9 15:00,141,101,0
2022-1-9 16:00,135,119,0
2022-1-9 17:00,130,136,0
2022-1-9 18:00,127,130,0
2022-1-9 19:00,123,125,0
2022-1-9 20:00,131,142,0
2022-1-9 21:00,140,159,0
2022-1-9 22:00,131,159,0
2022-1-9 23:00,123,160,0
2022-1-10 0:00,131,140,0
2022-1-10 1:00,139,121,0
2022-1-10 2:00,133,158,0.0479
2022-1-10 3:00,127,195,0.0959
2022-1-10 4:00,171,260,18.3
2022-1-10 5:00,216,325,36.6
2022-1-10 6:00,263,354,26.4
2022-1-10 7:00,309,384,16.2
2022-1-10 8:00,323,369,14.8
2022-1-10 9:00,336,353,13.3
2022-1-10 10:00,344,295,17.3
2022-1-10 11:00,352,237,21.2
2022-1-10 12:00,322,232,26.8
2022-1-10 13:00,292,227,32.3
2022-1-10 14:00,289,180,16.4
2022-1-10 15:00,286,133,0.574
2022-1-10 16:00,266,203,0.287
2022-1-10 17:00,246,273,0
2022-1-10 18:00,224,251,0
2022-1-10 19:00,202,229,0
2022-1-10 20:00,167,233,0
2022-1-10 21:00,132,238,0
2022-1-10 22:00,128,168,0
2022-1-10 23:00,123,99.1,0
2022-1-11 0:00,132,121,0
2022-1-11 1:00,140,143,0
2022-1-11 2:00,135,152,0.343
2022-1-11 3:00,130,161,0.686
2022-1-11 4:00,177,236,21.5
2022-1-11 5:00,225,311,42.3
2022-1-11 6:00,263,356,41.7
2022-1-11 7:00,301,400,41
2022-1-11 8:00,315,375,29.2
2022-1-11 9:00,328,349,17.3
2022-1-11 10:00,345,352,21.4
2022-1-11 11:00,362,356,25.5
2022-1-11 12:00,341,357,25.3
2022-1-11 13:00,320,358,25.1
2022-1-11 14:00,315,278,12.6
2022-1-11 15:00,311,198,0.0545
2022-1-11 16:00,283,239,0.0648
2022-1-11 17:00,256,280,0.0752
2022-1-11 18:00,233,271,0.0376
2022-1-11 19:00,209,263,0
2022-1-11 20:00,173,261,0
2022-1-11 21:00,137,259,0
2022-1-11 22:00,134,174,0
2022-1-11 23:00,131,87.9,0
2022-1-12 0:00,129,125,12.1
2022-1-12 1:00,127,162,24.3
2022-1-12 2:00,131,150,26.6
2022-1-12 3:00,135,139,29
2022-1-12 4:00,183,272,37.6
2022-1-12 5:00,230,404,46.2
2022-1-12 6:00,260,407,31.2
2022-1-12 7:00,289,411,16.2
2022-1-12 8:00,310,363,17
2022-1-12 9:00,331,316,17.7
2022-1-12 10:00,341,333,18.9
2022-1-12 11:00,352,350,20
2022-1-12 12:00,328,321,23.5
2022-1-12 13:00,304,292,27.1
2022-1-12 14:00,290,284,13.6
2022-1-12 15:00,275,276,0.0545
2022-1-12 16:00,264,268,0.0273
2022-1-12 17:00,252,259,0
2022-1-12 18:00,226,278,0
2022-1-12 19:00,201,296,0
2022-1-12 20:00,166,254,0
2022-1-12 21:00,131,213,0
2022-1-12 22:00,128,182,0
2022-1-12 23:00,126,151,0
2022-1-13 0:00,125,147,0
2022-1-13 1:00,124,143,0
2022-1-13 2:00,126,170,0.312
2022-1-13 3:00,129,197,0.624
2022-1-13 4:00,176,285,24.6
2022-1-13 5:00,224,372,48.6
2022-1-13 6:00,260,415,34
2022-1-13 7:00,296,458,19.5
2022-1-13 8:00,302,434,17.6
2022-1-13 9:00,308,409,15.8
2022-1-13 10:00,321,387,20
2022-1-13 11:00,334,366,24.3
2022-1-13 12:00,309,322,22.8
2022-1-13 13:00,285,278,21.3
2022-1-13 14:00,291,250,10.9
2022-1-13 15:00,297,222,0.437
2022-1-13 16:00,272,244,0.218
2022-1-13 17:00,248,266,0
2022-1-13 18:00,224,275,0
2022-1-13 19:00,200,284,0
2022-1-13 20:00,173,288,0
2022-1-13 21:00,147,293,0
2022-1-13 22:00,136,235,0
2022-1-13 23:00,125,177,0
2022-1-14 0:00,134,173,0
2022-1-14 1:00,142,168,0
2022-1-14 2:00,137,194,0.264
2022-1-14 3:00,133,220,0.528
2022-1-14 4:00,176,302,14.9
2022-1-14 5:00,219,384,29.2
2022-1-14 6:00,281,456,35.9
2022-1-14 7:00,343,528,42.7
2022-1-14 8:00,331,497,29.1
2022-1-14 9:00,320,466,15.5
2022-1-14 10:00,326,412,24.2
2022-1-14 11:00,332,358,32.9
2022-1-14 12:00,313,327,32.4
2022-1-14 13:00,294,295,31.8
2022-1-14 14:00,290,212,15.9
2022-1-14 15:00,287,128,0
2022-1-14 16:00,265,190,0
2022-1-14 17:00,244,251,0
2022-1-14 18:00,218,270,0
2022-1-14 19:00,191,288,0
2022-1-14 20:00,166,278,0
2022-1-14 21:00,141,268,0
2022-1-14 22:00,132,224,0
2022-1-14 23:00,123,179,0
2022-1-15 0:00,131,184,0
2022-1-15 1:00,139,188,0
2022-1-15 2:00,131,195,0
2022-1-15 3:00,124,201,0
2022-1-15 4:00,129,190,0
2022-1-15 5:00,135,178,0
2022-1-15 6:00,142,210,0
2022-1-15 7:00,149,242,0
