Station;Fuseau;Chronique;Unite
Meteo-GreEn-ER;UTC+00;TEMPA;°C
DateHeure;Valeur;Qualite
01/01/2020 00:00;1.937;v
01/01/2020 01:00;1.695;v
01/01/2020 02:00;1.117;v
01/01/2020 03:00;0.599;v
01/01/2020 04:00;0.231;v
01/01/2020 05:00;-0.419;v
01/01/2020 06:00;-0.703;v
01/01/2020 07:00;-0.668;v
01/01/2020 08:00;-0.286;v
01/01/2020 09:00;-0.092;v
01/01/2020 10:00;1.246;v
01/01/2020 11:00;2.513;v
01/01/2020 12:00;4.26;v
01/01/2020 13:00;3.255;v
01/01/2020 14:00;3.765;v
01/01/2020 15:00;3.475;v
01/01/2020 16:00;1.676;v
01/01/2020 17:00;1.089;v
01/01/2020 18:00;1.149;v
01/01/2020 19:00;1.121;v
01/01/2020 20:00;0.997;v
01/01/2020 21:00;0.98;v
01/01/2020 22:00;0.595;v
01/01/2020 23:00;0.047;v
02/01/2020 00:00;-0.144;v
02/01/2020 01:00;-0.385;v
02/01/2020 02:00;-0.286;v
02/01/2020 03:00;-0.262;v
02/01/2020 04:00;-0.312;v
02/01/2020 05:00;-0.311;v
02/01/2020 06:00;-0.445;v
02/01/2020 07:00;-0.471;v
02/01/2020 08:00;-0.773;v
02/01/2020 09:00;-0.756;v
02/01/2020 10:00;-0.339;v
02/01/2020 11:00;0.032;v
02/01/2020 12:00;0.384;v
02/01/2020 13:00;0.742;v
02/01/2020 14:00;0.982;v
02/01/2020 15:00;0.77;v
02/01/2020 16:00;0.431;v
02/01/2020 17:00;0.264;v
02/01/2020 18:00;0.045;v
02/01/2020 19:00;-0.323;v
02/01/2020 20:00;-0.364;v
02/01/2020 21:00;-0.354;v
02/01/2020 22:00;-0.432;v
02/01/2020 23:00;-0.521;v
03/01/2020 00:00;-0.572;v
03/01/2020 01:00;-0.642;v
03/01/2020 02:00;-0.831;v
03/01/2020 03:00;-0.905;v
03/01/2020 04:00;-1.192;v
03/01/2020 05:00;-1.26;v
03/01/2020 06:00;-1.248;v
03/01/2020 07:00;-1.16;v
03/01/2020 08:00;-0.941;v
03/01/2020 09:00;-0.898;v
03/01/2020 10:00;-0.535;v
03/01/2020 11:00;1.677;v
