Station;Fuseau;Chronique;Unite
METEO-GREEN-ER;UTC+00;TEMPA;°C
DateHeure;Valeur;Qualite
01/01/2021 00:00;4.5;v
01/01/2021 01:00;3.9;v
01/01/2021 02:00;3.4;v
01/01/2021 03:00;3.3;v
01/01/2021 04:00;3.4;v
01/01/2021 05:00;3.2;v
01/01/2021 06:00;3;v
01/01/2021 07:00;2.5;v
01/01/2021 08:00;2.3;v
01/01/2021 09:00;2.4;v
01/01/2021 10:00;2.5;v
01/01/2021 11:00;2.5;v
01/01/2021 12:00;2.5;v
01/01/2021 13:00;2.3;v
01/01/2021 14:00;2.2;v
01/01/2021 15:00;2.5;v
01/01/2021 16:00;2.4;v
01/01/2021 17:00;2.2;v
01/01/2021 18:00;2.2;v
01/01/2021 19:00;2.3;v
01/01/2021 20:00;2.3;v
01/01/2021 21:00;2.5;v
01/01/2021 22:00;2.3;v
01/01/2021 23:00;2.1;v
02/01/2021 00:00;2.1;v
02/01/2021 01:00;2.2;v
02/01/2021 02:00;2.1;v
02/01/2021 03:00;2;v
02/01/2021 04:00;1.8;v
02/01/2021 05:00;1.5;v
02/01/2021 06:00;1;v
02/01/2021 07:00;0.9;v
02/01/2021 08:00;0.8;v
02/01/2021 09:00;0.9;v
02/01/2021 10:00;1.2;v
02/01/2021 11:00;1.4;v
02/01/2021 12:00;1.5;v
02/01/2021 13:00;1.5;v
02/01/2021 14:00;1.4;v
02/01/2021 15:00;1.6;v
02/01/2021 16:00;1.7;v
02/01/2021 17:00;1.5;v
02/01/2021 18:00;1.4;v
02/01/2021 19:00;1.5;v
02/01/2021 20:00;1.4;v
02/01/2021 21:00;1.2;v
02/01/2021 22:00;0.9;v
02/01/2021 23:00;0.9;v
03/01/2021 00:00;1;v
03/01/2021 01:00;0.9;v
03/01/2021 02:00;0.8;v
03/01/2021 03:00;0.7;v
03/01/2021 04:00;0.6;v
03/01/2021 05:00;0.6;v
03/01/2021 06:00;0.6;v
03/01/2021 07:00;0.7;v
03/01/2021 08:00;0.7;v
03/01/2021 09:00;0.8;v
03/01/2021 10:00;1;v
03/01/2021 11:00;1.1;v
03/01/2021 12:00;1.3;v
03/01/2021 13:00;1.4;v
03/01/2021 14:00;1.1;v
03/01/2021 15:00;1.3;v
03/01/2021 16:00;1.3;v
03/01/2021 17:00;1.3;v
03/01/2021 18:00;1.4;v
03/01/2021 19:00;1.3;v
03/01/2021 20:00;1.2;v
03/01/2021 21:00;1.1;v
03/01/2021 22:00;1.3;v
03/01/2021 23:00;1.5;v
04/01/2021 00:00;1.5;v
04/01/2021 01:00;1.4;v
04/01/2021 02:00;1.3;v
04/01/2021 03:00;1.4;v
04/01/2021 04:00;1.4;v
04/01/2021 05:00;1.5;v
04/01/2021 06:00;1.5;v
04/01/2021 07:00;1.6;v
04/01/2021 08:00;1.6;v
04/01/2021 09:00;1.9;v
04/01/2021 10:00;2.2;v
04/01/2021 11:00;2.4;v
04/01/2021 12:00;2.7;v
04/01/2021 13:00;3.2;v
04/01/2021 14:00;3.6;v
04/01/2021 15:00;3;v
04/01/2021 16:00;2;v
04/01/2021 17:00;1.6;v
04/01/2021 18:00;1.3;v
04/01/2021 19:00;0.9;v
04/01/2021 20:00;0.7;v
04/01/2021 21:00;0.8;v
04/01/2021 22:00;0.8;v
04/01/2021 23:00;0.5;v
05/01/2021 00:00;0.3;v
05/01/2021 01:00;0.3;v
05/01/2021 02:00;0.3;v
05/01/2021 03:00;0.4;v
05/01/2021 04:00;0.5;v
05/01/2021 05:00;0.5;v
05/01/2021 06:00;0.6;v
05/01/2021 07:00;0.7;v
05/01/2021 08:00;1.1;v
05/01/2021 09:00;1.7;v
05/01/2021 10:00;1.8;v
05/01/2021 11:00;1.8;v
05/01/2021 12:00;2.2;v
05/01/2021 13:00;2.6;v
05/01/2021 14:00;2.3;v
05/01/2021 15:00;2.2;v
05/01/2021 16:00;1.9;v
05/01/2021 17:00;1.7;v
05/01/2021 18:00;1.8;v
05/01/2021 19:00;1.8;v
05/01/2021 20:00;1.7;v
05/01/2021 21:00;1.7;v
05/01/2021 22:00;1.5;v
