"TOA5","Meteo_GreEnER_CR6","CR6","8957","CR6.Std.10.01","CPU:METEO_GREEN-ER_v2.5.CR6","22114","_01_Hour"
"TIMESTAMP","RECORD","CR6_Alim_Avg","CR6_Temp_Avg","AirTemp_Avg","RH_Avg","Press_Avg","WSpd_Avg","WDir_Avg","WDir_Std","WSpd_Max","Rain_Tot","Ray_Global_CMP3_Avg","Ray_Global_CMP3_Energy_Tot","Ray_Global_RSR2_Avg","Ray_Direct_RSR2_Avg","Ray_Direct_H_RSR2_Avg","Ray_Diffus_RSR2_Avg","Ray_Global_RSR2_Energy_Tot","Ray_Direct_RSR2_Energy_Tot","Ray_Diffus_RSR2_Energy_Tot","Ray_Global_RSR2_Raw_Avg","Ray_Direct_RSR2_Raw_Avg","Ray_Diffus_RSR2_Raw_Avg","ZenDeg_Avg","WM_Spd_WV_Avg","WM_Dir_Avg","WM_Dir_Std","WM_Spd_Avg","WM_Spd_Std","WM_Spd_Max","WM_AV_Spd_Avg","WM_AV_Spd_Std","WM_AV_Spd_Max","WM_vit_Son_Avg","WM_Temp_Avg","Humidex","Rain2_Tot"
"TS","RN","V","Deg C","Deg C","%","mbar","m/s","Deg","Deg","m/s","mm","W/m^2","J/m^2","W/m^2","W/m^2","W/m^2","W/m^2","kWh/m^2","kWh/m^2","kWh/m^2","W/m^2","W/m^2","W/m^2","degres","m/s","Deg","Deg","m/s","m/s","m/s","m/s","m/s","m/s","m/s","Deg C","","mm"
"","","Avg","Avg","Avg","Avg","Avg","WVc","WVc","WVc","Max","Tot","Avg","Tot","Avg","Avg","Avg","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","WVc","WVc","WVc","Avg","Std","Max","Avg","Std","Max","Avg","Avg","Smp","Tot"
"2023-01-01 00:00:00",5990,13.67,17.34,13.34,80.5,1024,2.984,349.2,44.96,8.84,0,0,0,6.244,0,0,6.244,0.006,0,0.006,6.121,0,6.121,157.5,4.002,324.2,31.85,4.002,1.674,8.56,-0.3,0.783,2.58,341.6,16.59,14.29,0
"2023-01-01 01:00:00",5991,13.67,17.27,12.74,82.3,1024,2.426,332.1,52.09,8.09,0,0,0,6.307,0,0,6.307,0.006,0,0.006,6.18,0,6.18,155.4,3.309,312.1,36.07,3.3,1.563,7.91,-0.174,0.514,1.42,341.4,16.13,14.18,0
"2023-01-01 02:00:00",5992,13.67,17.1,13.11,79.26,1024,3.54,330.7,52.28,11.11,0,0,0,6.34,0,0,6.34,0.006,0,0.006,6.215,0,6.215,148.4,4.373,308.7,39.88,4.373,2.055,11.46,-0.229,0.69,2,341.5,16.38,14.15,0
"2023-01-01 03:00:00",5993,13.67,16.96,12.39,81.9,1025,1.596,21.71,93.6,7.78,0,0,0,6.341,0,0,6.341,0.006,0,0.006,6.212,0,6.212,139.1,2.211,341.7,94.2,2.205,1.562,8.41,-0.05,0.476,1.75,341.1,15.73,12.31,0
"2023-01-01 04:00:00",5994,13.67,16.64,10.9,87.8,1026,0.941,100.4,62.72,4.44,0,0,0,6.31,0,0,6.31,0.006,0,0.006,6.174,0,6.174,128.8,1.287,103.4,76.17,1.287,0.856,5.68,-0.047,0.268,0.73,340.5,14.77,11.05,0
"2023-01-01 05:00:00",5995,13.69,16.18,10.55,89.4,1026,0.967,13.53,82,3.17,0,0,0,6.248,0,0,6.248,0.006,0,0.006,6.112,0,6.112,118.2,1.144,332.2,78.4,1.141,0.614,3.47,-0.063,0.273,0.99,340.4,14.59,11.08,0
"2023-01-01 06:00:00",5996,13.73,15.72,10.21,90.3,1026,1.141,102.3,77.9,3.63,0,0,0,6.34,0,0,6.34,0.006,0,0.006,6.2,0,6.2,107.8,1.619,116.7,84.2,1.619,0.884,4.97,-0.065,0.317,1.02,340.2,14.22,10.71,0
"2023-01-01 07:00:00",5997,13.74,15.37,10.01,90.5,1026,0.999,127.9,76.4,3.61,0,0,0,6.379,0,0,6.379,0.006,0,0.006,6.237,0,6.237,97.9,1.476,148.8,83.2,1.476,0.758,4.38,-0.068,0.263,0.94,340.1,14.05,10.34,0
