Region,Date,Tempmax,Tempmin,Temperature,Feelslikemax,Feelslikemin,Feelslike,Dew,Humidity,Precipitation,Precipprob,Precipcover,Preciptype,Snow,Snowdepth,Windgust,Windspeed,Winddir,Sealevelpressure,Cloudcover,Visibility,Solarradiation,Solarenergy,Uvindex,Severerisk,Sunrise,Sunset,Moonphase,Conditions,Description,Icon,Stations
auvergne rhone alpes,2013-01-01,9.6,6.2,8.3,6.4,4.7,5.5,4.6,78,7.561,100,58.33,rain,0,0,83.5,41.8,197.7,1014.8,93.8,36.1,13.9,1.2,1,,2013-01-01T08:21:51,2013-01-01T17:06:59,0.64,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-02,7.3,2.8,4.9,5.1,-0.4,2.1,2.1,82.1,0.737,100,16.67,rain,0,0,40.2,25.1,351.7,1026.6,56.4,44.8,57.3,5,3,,2013-01-02T08:21:51,2013-01-02T17:07:56,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-03,5,-0.1,2.7,5,-1.9,2.2,0.7,87.5,0,0,0,,0,0,15.8,7,52.4,1039.5,83,11.1,70.1,6,4,,2013-01-03T08:21:48,2013-01-03T17:08:55,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LFLS,07475099999,LFLY,07481099999,LFMH,LFLL,07477099999,07480099999,07486099999,07482099999,07385099999"
auvergne rhone alpes,2013-01-04,8.7,4.7,6.6,7,4.7,5.6,5.1,90.8,0.168,100,16.67,rain,0,0,31.7,17.8,359,1039.4,99.8,13.9,32.8,2.8,2,,2013-01-04T08:21:43,2013-01-04T17:09:55,0.74,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-05,7.6,6.6,7.2,5.2,3.3,4.2,4.7,84.2,0.006,100,4.17,rain,0,0,40.9,26.1,345.8,1035.8,100,37.2,52,4.5,3,,2013-01-05T08:21:35,2013-01-05T17:10:58,0.75,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-06,7.1,5.4,6.1,4.6,1.8,3.2,3.6,83.9,0.006,100,4.17,rain,0,0,38.9,20.7,356,1033.2,100,32.2,31.7,2.7,1,,2013-01-06T08:21:24,2013-01-06T17:12:02,0.81,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-07,5.8,4.4,5.1,5.6,2.6,4.1,2.8,84.8,0,0,0,,0,0,25.3,15.4,19,1029.7,99.7,23.3,74.1,6.5,4,,2013-01-07T08:21:11,2013-01-07T17:13:08,0.85,Overcast,Cloudy skies throughout the day.,cloudy,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-08,4.4,1.5,3.1,4.4,-1.5,1.6,0.7,84.3,0,0,0,,0,0,18.4,11.8,18.8,1029.2,98.2,8.7,87.6,7.7,4,,2013-01-08T08:20:55,2013-01-08T17:14:16,0.88,Overcast,Cloudy skies throughout the day.,cloudy,"7,475,099,999,074,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-09,1.5,0.2,0.6,0.5,-2.9,-1.3,-1.1,88.4,0.006,100,4.17,"rain,snow",0,0,17.7,9.9,0.9,1025.2,100,4.6,72.8,6.4,4,,2013-01-09T08:20:36,2013-01-09T17:15:25,0.92,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
auvergne rhone alpes,2013-01-10,4.4,0.3,2.1,4.4,-2.6,0.8,0.8,91.5,3.397,100,41.67,"rain,snow",0,0,25.9,9.7,100.6,1019.7,99.9,4.7,23,1.9,1,,2013-01-10T08:20:15,2013-01-10T17:16:36,0.95,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"74,750,999,990,748,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
