DATE,START-TIME,END-TIME,LOCATION
2022-09-01,07:00,18:00,G-2A004
2022-09-01,07:00,18:00,G-2A005
2022-09-01,07:00,18:00,G-2B002
2022-09-01,07:00,18:00,G-2B012
2022-09-01,07:00,18:00,G-2B013
2022-09-01,07:00,18:00,G-2C001
2022-09-01,07:00,18:00,G-2C002
2022-09-01,07:00,18:00,G-2C003
2022-09-01,07:00,18:00,G-2C004
2022-09-01,07:00,18:00,G-2C007
2022-09-01,07:00,18:00,G-2C008
2022-09-01,07:00,18:00,G-4D001-Projet
2022-09-01,07:00,18:00,G-4D005-Projet
2022-09-01,07:00,18:00,G-4D007-Projet
2022-09-01,07:00,18:00,G-4D009-Projet
2022-09-01,07:00,18:00,G-4D010-Projet
2022-09-01,08:00,10:00,G-4D008 TD-info
2022-09-01,08:00,10:00,G-4D003
2022-09-01,08:30,12:00,G-0B007-Amphi Bergès
2022-09-01,09:00,13:00,G-1C004
2022-09-01,09:00,14:30,G-0D006-Salle des forums
2022-09-01,10:15,12:15,G-4D003
2022-09-01,10:15,12:15,G-4D008 TD-info
2022-09-01,10:30,12:30,G-1C003
2022-09-01,13:00,16:00,G-1B016-Projet-Vie étudiante
2022-09-01,13:30,18:00,G-1D003-Salle du Conseil
2022-09-01,13:30,14:30,G-2B009
2022-09-01,13:30,15:30,G-2A007-info
2022-09-01,14:00,16:00,G-1C003
2022-09-01,14:00,15:00,G-1C004
2022-09-01,14:30,15:30,G-2B009
2022-09-01,15:45,17:45,G-4D003
2022-09-01,16:45,18:00,G-1C004
2022-09-02,07:00,18:00,G-2A004
2022-09-02,07:00,18:00,G-2A005
2022-09-02,07:00,18:00,G-2B002
2022-09-02,07:00,18:00,G-2B012
2022-09-02,07:00,18:00,G-2B013
2022-09-02,07:00,18:00,G-2C001
2022-09-02,07:00,18:00,G-2C002
2022-09-02,07:00,18:00,G-2C003
2022-09-02,07:00,18:00,G-2C004
2022-09-02,07:00,18:00,G-2C007
2022-09-02,07:00,18:00,G-2C008
2022-09-02,07:00,18:00,G-4D001-Projet
2022-09-02,07:00,18:00,G-4D005-Projet
2022-09-02,07:00,18:00,G-4D007-Projet
2022-09-02,07:00,18:00,G-4D009-Projet
2022-09-02,07:00,18:00,G-4D010-Projet
2022-09-02,08:00,09:00,G-2B009
2022-09-02,08:00,09:00,G-2B010
2022-09-02,08:00,10:00,G-4D003
2022-09-02,09:00,10:00,G-1C002-Amphi Coulomb
2022-09-02,09:00,10:00,G-2B009
2022-09-02,09:00,10:00,G-2B010
2022-09-02,09:00,14:30,G-0D006-Salle des forums
2022-09-02,10:15,12:15,G-4D008 TD-info
2022-09-02,13:00,16:00,G-1B016-Projet-Vie étudiante
2022-09-02,13:00,16:00,G-1C003
2022-09-02,13:30,15:30,G-2A007-info
2022-09-02,13:30,15:30,G-4D003
2022-09-02,13:30,15:30,G-1C004
2022-09-02,15:45,17:45,G-2A007-info
2022-09-05,07:00,18:00,G-2A004
2022-09-05,07:00,18:00,G-2A005
2022-09-05,07:00,18:00,G-2B002
2022-09-05,07:00,18:00,G-2B012
2022-09-05,07:00,18:00,G-2B013
2022-09-05,07:00,18:00,G-2C001
2022-09-05,07:00,18:00,G-2C002
2022-09-05,07:00,18:00,G-2C003
2022-09-05,07:00,18:00,G-2C004
2022-09-05,07:00,18:00,G-2C007
2022-09-05,07:00,18:00,G-2C008
2022-09-05,07:00,18:00,G-4D001-Projet
2022-09-05,07:00,18:00,G-4D005-Projet
2022-09-05,07:00,18:00,G-4D007-Projet
2022-09-05,07:00,18:00,G-4D009-Projet
2022-09-05,07:00,18:00,G-4D010-Projet
2022-09-05,07:30,13:00,G-1A002-Amphi Ampère
2022-09-05,07:30,13:00,G-1C002-Amphi Coulomb
2022-09-05,07:30,13:00,G-0B007-Amphi Bergès
2022-09-05,07:30,11:00,G-0B018-Agora
2022-09-05,08:00,18:30,G-3A012-Enveloppe épaisse
2022-09-05,08:00,18:30,G-3A012-Flambement
2022-09-05,08:00,18:30,G-3A012-Flexion 1&2
2022-09-05,08:00,18:30,G-3A012-Plaque trouée
2022-09-05,08:00,18:30,G-3A012-Presse Instron
2022-09-05,08:00,18:30,G-3A012-Torsion
2022-09-05,08:00,18:30,G-3A012-Vibration portique
2022-09-05,08:00,18:30,G-3A012-Vibration poutre
2022-09-05,09:00,14:30,G-0D006-Salle des forums
2022-09-05,10:00,12:00,G-1C004
2022-09-05,10:00,12:00,G-2A006
2022-09-05,11:00,16:00,G-1B012-info-vie étudiante
2022-09-05,13:30,14:30,G-1C004
2022-09-05,14:00,14:45,G-1C002-Amphi Coulomb
2022-09-05,14:00,14:45,G-0B007-Amphi Bergès
2022-09-05,14:00,14:45,G-1A002-Amphi Ampère
2022-09-05,15:00,16:00,G-2C006
2022-09-05,15:00,16:00,G-2A006
2022-09-05,15:00,16:00,G-0B007-Amphi Bergès
2022-09-05,15:00,16:00,G-2B009
2022-09-05,15:00,16:00,G-1A002-Amphi Ampère
2022-09-05,15:00,16:00,G-1C002-Amphi Coulomb
2022-09-05,15:00,16:00,G-4D003
2022-09-05,16:30,17:30,G-4D006 TD-info
2022-09-06,07:00,18:00,G-2A004
2022-09-06,07:00,18:00,G-2A005
2022-09-06,07:00,18:00,G-4D001-Projet
2022-09-06,07:00,18:00,G-4D005-Projet
2022-09-06,07:00,18:00,G-4D007-Projet
2022-09-06,07:00,18:00,G-4D009-Projet
