Date,Hour,Location,Duration,Capacity
2020-08-24,08:00,"G-1B016-Projet-Vie étudiante, G-1C002-Amphi Coulomb",2,160
2020-08-24,09:00,"G-1B016-Projet-Vie étudiante, G-1C002-Amphi Coulomb, G-4D006",3,194
2020-08-24,10:00,"G-1B016-Projet-Vie étudiante, G-1C002-Amphi Coulomb, G-4D006",3,194
2020-08-24,11:00,"G-1B016-Projet-Vie étudiante, G-4D006",2,44
2020-08-24,12:00,G-1B016-Projet-Vie étudiante,1,10
2020-08-24,13:00,"G-1B016-Projet-Vie étudiante, G-2C005-info, G-2C006",3,108
2020-08-24,14:00,"G-1B016-Projet-Vie étudiante, G-2C006",2,90
2020-08-24,15:00,"G-1B016-Projet-Vie étudiante, G-2C006",2,90
2020-08-24,16:00,G-1B016-Projet-Vie étudiante,1,10
2020-08-24,17:00,G-1B016-Projet-Vie étudiante,1,10
2020-08-25,08:00,"G-1B016-Projet-Vie étudiante, G-1C002-Amphi Coulomb",2,160
2020-08-25,09:00,"G-1B016-Projet-Vie étudiante, G-1C002-Amphi Coulomb, G-4D006",3,194
2020-08-25,10:00,"G-1B016-Projet-Vie étudiante, G-1C002-Amphi Coulomb, G-4D006",3,194
2020-08-25,11:00,"G-1B016-Projet-Vie étudiante, G-4D006",2,44
2020-08-25,12:00,G-1B016-Projet-Vie étudiante,1,10
2020-08-25,13:00,"G-1B016-Projet-Vie étudiante, G-2C006",2,90
2020-08-25,14:00,"G-1B016-Projet-Vie étudiante, G-2C006",2,90
2020-08-25,15:00,G-1B016-Projet-Vie étudiante,1,10
2020-08-25,16:00,G-1B016-Projet-Vie étudiante,1,10
2020-08-25,17:00,G-1B016-Projet-Vie étudiante,1,10
2020-08-26,08:00,"G-1B016-Projet-Vie étudiante, G-1C002-Amphi Coulomb",2,160
2020-08-26,09:00,"G-1B016-Projet-Vie étudiante, G-1C002-Amphi Coulomb, G-4D006",3,194
2020-08-26,10:00,"G-1B016-Projet-Vie étudiante, G-1C002-Amphi Coulomb, G-4D006",3,194
2020-08-26,11:00,"G-1B016-Projet-Vie étudiante, G-1C002-Amphi Coulomb, G-4D006",3,194
2020-08-26,12:00,G-1B016-Projet-Vie étudiante,1,10
2020-08-26,13:00,"G-1B016-Projet-Vie étudiante, G-2C006",2,90
2020-08-26,14:00,"G-1B016-Projet-Vie étudiante, G-2C006",2,90
2020-08-26,15:00,G-1B016-Projet-Vie étudiante,1,10
2020-08-26,16:00,G-1B016-Projet-Vie étudiante,1,10
2020-08-26,17:00,G-1B016-Projet-Vie étudiante,1,10
2020-08-27,07:00,"G-1A002-Amphi Ampère, G-2C001",2,186
2020-08-27,08:00,"G-1A002-Amphi Ampère, G-2C001, G-1B016-Projet-Vie étudiante",3,196
2020-08-27,09:00,"G-1A002-Amphi Ampère, G-2C001, G-1B016-Projet-Vie étudiante, G-4D006, G-1C002-Amphi Coulomb",5,380
2020-08-27,10:00,"G-1A002-Amphi Ampère, G-2C001, G-1B016-Projet-Vie étudiante, G-4D006, G-1C002-Amphi Coulomb",5,380
2020-08-27,11:00,"G-1A002-Amphi Ampère, G-2C001, G-1B016-Projet-Vie étudiante, G-4D006",4,230
2020-08-27,12:00,"G-1A002-Amphi Ampère, G-2C001, G-1B016-Projet-Vie étudiante",3,196
2020-08-27,13:00,"G-1A002-Amphi Ampère, G-2C001, G-1B016-Projet-Vie étudiante, G-2C006",4,276
2020-08-27,14:00,"G-1A002-Amphi Ampère, G-2C001, G-1B016-Projet-Vie étudiante",3,196
2020-08-27,15:00,"G-1A002-Amphi Ampère, G-2C001, G-1B016-Projet-Vie étudiante",3,196
2020-08-27,16:00,"G-1A002-Amphi Ampère, G-2C001, G-1B016-Projet-Vie étudiante",3,196
2020-08-27,17:00,G-1B016-Projet-Vie étudiante,1,10
2020-08-28,07:00,"G-2C002, G-2C001, G-2C003",3,108
2020-08-28,08:00,"G-2C002, G-2C001, G-2C003, G-1B016-Projet-Vie étudiante",4,118
2020-08-28,09:00,"G-2C002, G-2C001, G-2C003, G-1B016-Projet-Vie étudiante, G-1C002-Amphi Coulomb, G-4D006",6,302
2020-08-28,10:00,"G-2C002, G-2C001, G-2C003, G-1B016-Projet-Vie étudiante, G-1C002-Amphi Coulomb, G-4D006",6,302
2020-08-28,11:00,"G-2C002, G-2C001, G-2C003, G-1B016-Projet-Vie étudiante, G-4D006",5,152
2020-08-28,12:00,"G-2C002, G-2C001, G-2C003, G-1B016-Projet-Vie étudiante",4,118
2020-08-28,13:00,"G-2C002, G-2C001, G-2C003, G-1B016-Projet-Vie étudiante, G-2C006",5,198
2020-08-28,14:00,"G-2C002, G-2C001, G-2C003, G-1B016-Projet-Vie étudiante, G-2C006",5,198
2020-08-28,15:00,"G-2C002, G-2C001, G-2C003, G-1B016-Projet-Vie étudiante",4,118
2020-08-28,16:00,"G-2C002, G-2C001, G-2C003, G-1B016-Projet-Vie étudiante",4,118
2020-08-28,17:00,G-1B016-Projet-Vie étudiante,1,10
2020-08-31,07:00,"G-2C002, G-2C001, G-2C003, G-2C004",4,144
2020-08-31,08:00,"G-2C002, G-2C001, G-2C003, G-2C004, G-1B016-Projet-Vie étudiante",5,154
2020-08-31,09:00,"G-2C002, G-2C001, G-2C003, G-2C004, G-1B016-Projet-Vie étudiante",5,154
2020-08-31,10:00,"G-2C002, G-2C001, G-2C003, G-2C004, G-1B016-Projet-Vie étudiante",5,154
2020-08-31,11:00,"G-2C002, G-2C001, G-2C003, G-2C004, G-1B016-Projet-Vie étudiante",5,154
2020-08-31,12:00,"G-2C002, G-2C001, G-2C003, G-2C004, G-1B016-Projet-Vie étudiante",5,154
2020-08-31,13:00,"G-2C002, G-2C001, G-2C003, G-2C004, G-1B016-Projet-Vie étudiante",5,154
2020-08-31,14:00,"G-2C002, G-2C001, G-2C003, G-2C004, G-1B016-Projet-Vie étudiante",5,154
2020-08-31,15:00,"G-2C002, G-2C001, G-2C003, G-2C004, G-1B016-Projet-Vie étudiante",5,154
2020-08-31,16:00,"G-2C002, G-2C001, G-2C003, G-2C004, G-1B016-Projet-Vie étudiante",5,154
2020-08-31,17:00,G-1B016-Projet-Vie étudiante,1,10
2020-09-01,07:00,"G-2C002, G-2A003, G-Salle des forums",3,116
2020-09-01,08:00,"G-2C002, G-2A003, G-Salle des forums, G-1B016-Projet-Vie étudiante",4,126
2020-09-01,09:00,"G-2C002, G-2A003, G-Salle des forums, G-1B016-Projet-Vie étudiante, G-1D003-Salle du Conseil",5,166
2020-09-01,10:00,"G-2C002, G-2A003, G-Salle des forums, G-1B016-Projet-Vie étudiante, G-1D003-Salle du Conseil",5,166
2020-09-01,11:00,"G-2C002, G-2A003, G-Salle des forums, G-1B016-Projet-Vie étudiante, G-1D003-Salle du Conseil",5,166
