Heating,Lighting,Cooling,Plug,Ventilation,Other,Consumption,Location,Number of Room,Occupants,Temperature,Humidity,Precipitation,Cloudcover,Visibility,Solarradiation,Solarenergy,Uvindex,Dayindex
5.0,1.8125,131.25,7.6875,6.5,0.0,152.25,0,0.0,0.0,17.4,65.79,0.0,30.0,39.0,0.0,0.0,0.0,0.578
4.75,1.5625,73.875,8.625,5.75,0.0,94.5625,0,0.0,0.0,16.4,70.07,0.0,60.0,38.1,0.0,0.0,0.0,0.578
4.75,2.625,77.625,8.6875,6.875,0.0,100.5625,0,0.0,0.0,15.5,75.87,0.0,90.0,36.5,0.0,0.0,0.0,0.578
5.0,2.0,77.375,6.1875,8.875,0.0,99.4375,0,0.0,0.0,14.5,80.17,0.0,90.0,36.5,0.0,0.0,0.0,0.578
4.5,4.0,63.5625,8.6875,7.75,0.0,88.5,0,0.0,0.0,14.4,81.59,0.0,80.0,38.1,0.0,0.0,0.0,0.578
4.75,2.5,40.875,8.625,18.25,0.0,75.0,0,0.0,0.0,14.6,84.75,0.0,80.0,37.3,0.0,0.0,0.0,0.578
5.0,2.5625,53.25,6.0625,54.875,0.0,121.75,0,0.0,0.0,13.9,83.25,0.0,30.0,35.5,0.5,0.0,0.0,0.578
4.75,4.0,43.25,9.375,67.5,0.0,128.875,0,0.0,0.0,12.7,87.18,0.0,50.0,33.9,5.0,0.0,0.0,0.578
7.25,14.875,53.875,10.5625,57.875,0.0,144.4375,"G-1B016-Projet-Vie étudiante, G-1C002-Amphi Coulomb",2.0,160.0,13.4,89.16,0.0,40.0,26.9,70.0,0.3,1.0,0.578
8.25,22.3125,34.125,11.9375,74.25,0.0,150.875,"G-1B016-Projet-Vie étudiante, G-1C002-Amphi Coulomb, G-4D006",3.0,194.0,18.0,66.61,0.0,10.0,28.6,250.0,0.9,3.0,0.578
9.0,21.75,56.5625,12.5625,67.875,0.0,167.75,"G-1B016-Projet-Vie étudiante, G-1C002-Amphi Coulomb, G-4D006",3.0,194.0,19.2,58.78,0.0,82.4,26.6,474.0,1.7,5.0,0.578
