DATE,ELECTRICITY,HEATING,WATER,TEMPERATURE,CO2,DURATION,ROOM INDEX,DAY OF WEEK,DAY INDEX
2022-09-01,4593.0,198.5,212.22899999999998,28.504166666666666,463.0,216.75,34.5,Thursday,1.0
2022-09-02,4632.0,174.1,174.8937,29.899999999999995,463.5,204.5,32.0,Friday,0.6
2022-09-03,2644.2,139.61,1.1480000000000001,28.30416666666667,433.5,0.2,0.2,Saturday,0.2
2022-09-04,2736.7,140.46,1.7320000000000002,30.19583333333333,430.5,0.2,0.2,Sunday,0.2
2022-09-05,5220.0,182.55,394.62,31.0,471.0,305.75,46.5,Monday,1.5
2022-09-06,5261.0,191.41,273.8823,33.49583333333333,469.5,288.5,55.0,Tuesday,1.0
2022-09-07,5437.0,196.95,347.68,31.504166666666666,486.5,114.0,71.5,Wednesday,1.0
2022-09-08,4732.0,196.79,232.7413,29.504166666666666,471.0,133.5,67.5,Thursday,1.0
2022-09-09,4602.0,241.14,401.8,27.604166666666668,469.0,146.0,70.0,Friday,0.6
2022-09-10,2548.7,140.51,0.0,26.600000000000005,431.5,0.2,0.2,Saturday,0.2
2022-09-11,2573.9,144.84,0.0,24.80416666666667,431.5,0.2,0.2,Sunday,0.2
2022-09-12,4927.0,204.94,384.7,27.795833333333334,473.0,163.0,74.5,Monday,1.5
2022-09-13,5369.0,206.84,276.2537,31.495833333333334,488.5,249.0,106.0,Tuesday,1.0
2022-09-14,5178.0,191.4,227.197,30.5,482.5,214.0,86.0,Wednesday,1.0
2022-09-15,4519.0,312.58,267.81813,29.600000000000005,467.0,128.5,43.5,Thursday,1.0
2022-09-16,4173.0,324.58,276.5322,27.904166666666665,450.0,105.25,27.5,Friday,0.6
2022-09-17,2540.6,358.87,0.0,23.904166666666665,424.0,0.2,0.2,Saturday,0.2
2022-09-18,2553.8,352.74,0.11445,18.90833333333333,422.0,0.2,0.2,Sunday,0.2
2022-09-19,4320.0,442.51,447.3808,21.395833333333332,486.5,242.75,111.5,Monday,1.5
2022-09-20,4319.0,488.21999999999997,284.9213,21.3,485.5,220.75,103.0,Tuesday,1.0
2022-09-21,4296.0,420.69,384.1474,21.3,484.5,252.5,114.5,Wednesday,1.0
2022-09-22,4619.0,429.48,271.75682,21.5,487.0,185.25,84.0,Thursday,1.0
2022-09-23,4367.0,437.74,311.962,23.795833333333334,486.0,200.25,102.0,Friday,0.6
2022-09-24,2680.2,365.93,1.2867,24.8,442.0,0.2,0.2,Saturday,0.2
2022-09-25,2700.4,365.15000000000003,0.0,22.904166666666665,436.5,0.2,0.2,Sunday,0.2
2022-09-26,4554.0,435.32,405.26,19.204166666666666,510.5,255.0,125.0,Monday,1.5
2022-09-27,4812.0,431.27,293.6427,20.0,499.5,316.25,157.0,Tuesday,1.0
2022-09-28,5038.0,411.08,256.3676,18.1,500.0,266.0,141.5,Wednesday,1.0
2022-09-29,4606.0,434.13,328.2282,17.6,467.5,170.0,88.0,Thursday,1.0
2022-09-30,4734.0,446.02,320.9537,15.300000000000002,483.0,207.75,118.0,Friday,0.6
2022-10-01,2874.8,355.0,0.0,13.300000000000002,451.5,2.0,2.0,Saturday,0.2
2022-10-02,2607.2,369.04,0.21650000000000003,13.199999999999998,452.5,0.2,0.2,Sunday,0.2
2022-10-03,4599.0,433.84000000000003,410.13,26.991666666666664,497.5,328.5,135.5,Monday,1.5
2022-10-04,4949.0,350.40999999999997,369.587,22.945833333333336,562.0,353.5,153.5,Tuesday,1.0
