DATE,ELECTRICITY,HEATING,WATER,TEMPERATURE,CO2,DURATION,ROOM INDEX,DAY OF WEEK,DAY INDEX
2022-01-01,2614,1393.9,0.396,17.2,435,0.2,0.2,Saturday,0.2
2022-01-02,2865,2699.7,0.0302,14.16666667,452,0.2,0.2,Sunday,0.2
2022-01-03,5328,5083,291.405,11.06666667,542.5,226,123,Monday,1.5
2022-01-04,5239,3709.4,258.214,10.02083333,506,263,126.5,Tuesday,1
2022-01-05,5345,6230.3,338.1667,12.9375,465,216.5,117.5,Wednesday,1
2022-01-06,5289,5644.5,295.4617,7.225,472.5,221,100,Thursday,1
2022-01-07,5390,6537.5,264.7794,7.1,498.5,240,126,Friday,0.6
2022-01-08,3085,3241,0.992,6.316666667,451,0.2,0.2,Saturday,0.2
2022-01-09,3197,3350,0.1567,6.8875,433,0.2,0.2,Sunday,0.2
2022-01-10,5521,5657.1,240.6048,6.508333333,495.5,224.25,126.5,Monday,1.5
2022-01-11,5696,6337.9,304.1611,8.164583333,521,312.25,141.5,Tuesday,1
2022-01-12,5509,6506,361.0818,3.891666667,526.5,243,135,Wednesday,1
2022-01-13,5432,6917,260.991,4.191666667,525,250.5,108,Thursday,1
2022-01-14,5538,7068,305.292,5.277083333,532,205.25,114,Friday,0.6
2022-01-15,3338,4334,0.104,7.552083333,485.5,7,1,Saturday,0.2
2022-01-16,3112,3831.6,0.1667,9.06875,488.5,0.2,0.2,Sunday,0.2
2022-01-17,5479,7645,276.6247,9.002083333,539,171.75,86.5,Monday,1.5
2022-01-18,5514,6417,278.854,6.0625,530,212,86,Tuesday,1
2022-01-19,5341,6014,392.03544,7.860416667,514.5,164.75,84,Wednesday,1
2022-01-20,5167,5186,276.512,8.879166667,485.5,169,72,Thursday,1
2022-01-21,5159,5631.7,258.519,8.214583333,478.5,170.25,82.5,Friday,0.6
2022-01-22,3000,3218,0,7.31875,452,0.2,0.2,Saturday,0.2
2022-01-23,3091,3808,0,8.18125,460,0.2,0.2,Sunday,0.2
2022-01-24,5148,6541,245.0912,8.395833333,508,162.25,68,Monday,1.5
2022-01-25,5235,5926,271.6812,9.575,509.5,225.5,84,Tuesday,1
2022-01-26,5187,5882,393.13553,12.05,502.5,158.25,68.5,Wednesday,1
2022-01-27,5178,6654,292.9471,11.6125,496,232.75,73,Thursday,1
2022-01-28,5152,6793,267.553,5.725,494.5,156.5,61.5,Friday,0.6
2022-01-29,3036,3470.3,0.3076,5.0125,492,33,3.5,Saturday,0.2
2022-01-30,3071,3680.6,0.384,8.622916667,456.5,5.5,1.5,Sunday,0.2
2022-01-31,5260,5517.1,222.614,8.1125,496,131,56.5,Monday,1.5
2022-02-01,5332,5487,285.7783,7.316666667,470,164,62,Tuesday,1
2022-02-02,5320,4762,384.5635,7.691666667,487,468.25,104,Wednesday,1
2022-02-03,5140,4469.8,352.706,12.79166667,479.5,163.5,61,Thursday,1
2022-02-04,5190,4924.7,331.58753,13.77916667,493.5,214.5,79,Friday,0.6
2022-02-05,3020,2317.4,0.1304,11.54583333,445,0.2,0.2,Saturday,0.2
2022-02-06,3222,3196.8,0.1353,9.245833333,441.5,0.2,0.2,Sunday,0.2
2022-02-07,5040,4855.6,46.9498,10.27708333,476.5,124,62.5,Monday,1.5
2022-02-08,5514,5604.1,340.001,11.76666667,503,209.75,99.5,Tuesday,1
2022-02-09,5465,4581.5,420.8015,12.68333333,496.5,367,93,Wednesday,1
2022-02-10,5205,4451.47,224.8163,14.26666667,501.5,147.5,67.5,Thursday,1
2022-02-11,5260,4763.1,315.4612,17.2375,475,227.5,97.5,Friday,0.6
2022-02-12,2857,3489.9,0.7352,9.758333333,448,0.2,0.2,Saturday,0.2
2022-02-13,2980,2464.49,0.5162,12.5375,446,0.2,0.2,Sunday,0.2
2022-02-14,5310,4164,282.8599,17.00833333,474.5,163,87.5,Monday,1.5
2022-02-15,5358,5694,328.21627,12.80416667,486,239.5,111,Tuesday,1
2022-02-16,5531,6049,346.8344,8.006666667,511.5,422.25,110,Wednesday,1
2022-02-17,5286,2789.53,259.2823,6.800833333,493.5,194.5,82.5,Thursday,1
