SUMMARY,DTSTART-DATE,START-TIME,DTEND-DATE,END-TIME,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL,CALENDAR,UID,ORGANIZER,CATEGORIES,DURATION,REPLACES RECURRENT EVENT FROM
"Soutenances PFE","01-09-2022","07:00","01-09-2022","18:00",,"(Exporté le:28/02/2023 14:40)","","G-2A004,G-2A005,G-2B002,G-2B012,G-2B013,G-2C001,G-2C002,G-2C003,G-2C004,G-2C007,G-2C008,G-4D001-Projet,G-4D005-Projet,G-4D007-Projet,G-4D009-Projet,G-4D010-Projet","","",,,,,
"Tutorat de mathématiques - AST","01-09-2022","08:00","01-09-2022","10:00",,"3EM1SMA7_2022_S5_TD_G2GUERIN DUGUE Anne(Exporté le:28/02/2023 14:40)","","G-4D008 TD-info","","",,,,,
"Tutorat de mathématiques - AST","01-09-2022","08:00","01-09-2022","10:00",,"3EM1SMA7_2022_S5_TD_G1VEZIER Antoine(Exporté le:28/02/2023 14:40)","","G-4D003","","",,,,,
"Rentrée","01-09-2022","08:30","01-09-2022","12:00",,"1A-ALT(Exporté le:28/02/2023 14:40)","","G-0B007-Amphi Bergès","","",,,,,
"Entretiens recrutement Gest Scol","01-09-2022","09:00","01-09-2022","13:00",,"Réservations ReSEdALefebvre Genevieve(Exporté le:28/02/2023 14:40)","","G-1C004","","",,,,,
"Repas soutenances PFE","01-09-2022","09:00","01-09-2022","14:30",,"(Exporté le:28/02/2023 14:40)","","G-0D006-Salle des forums","","",,,,,
"Tutorat de mathématiques - AST","01-09-2022","10:15","01-09-2022","12:15",,"3EM1SMA7_2022_S5_TD_G1VEZIER Antoine(Exporté le:28/02/2023 14:40)","","G-4D003","","",,,,,
"Tutorat de mathématiques - AST","01-09-2022","10:15","01-09-2022","12:15",,"3EM1SMA7_2022_S5_TD_G2GUERIN DUGUE Anne(Exporté le:28/02/2023 14:40)","","G-4D008 TD-info","","",,,,,
"DRiu","01-09-2022","10:30","01-09-2022","12:30",,"Réservations ReSEdABakouche Fadwa(Exporté le:28/02/2023 14:40)","","G-1C003","","",,,,,
"INSCRIPTIONS ETUDIANTS INTERNATIONAUX","01-09-2022","13:00","01-09-2022","16:00",,"(Exporté le:28/02/2023 14:40)","","G-1B016-Projet-Vie étudiante","","",,,,,
"Réunion pôle PEM","01-09-2022","13:30","01-09-2022","18:00",,"Réservations ReSEdAHerbuveaux Vicky(Exporté le:28/02/2023 14:40)","","G-1D003-Salle du Conseil","","",,,,,
"Tutorat de mecanique - AST","01-09-2022","13:30","01-09-2022","14:30",,"3EM5SDM9_2022_S5_TD_G1AMEN Jean-luc(Exporté le:28/02/2023 14:40)","","G-2B009","","",,,,,
"BESI","01-09-2022","13:30","01-09-2022","15:30",,"1A-ALTROBA Bolbol(Exporté le:28/02/2023 14:40)","","G-2A007-info","","",,,,,
"CMQ (Fadwa)","01-09-2022","14:00","01-09-2022","16:00",,"Réservations ReSEdABakouche Fadwa(Exporté le:28/02/2023 14:40)","","G-1C003","","",,,,,
"Accueil étudiante handicap","01-09-2022","14:00","01-09-2022","15:00",,"(Exporté le:28/02/2023 14:40)","","G-1C004","","",,,,,
"Tutorat de mecanique - AST","01-09-2022","14:30","01-09-2022","15:30",,"3EM5SDM9_2022_S5_TD_G1AMEN Jean-luc(Exporté le:28/02/2023 14:40)","","G-2B009","","",,,,,
"Fondamentaux de mathematiques","01-09-2022","15:45","01-09-2022","17:45",,"3EUAFDM8_2022_S5_CTD_G1VEZIER Antoine(Exporté le:28/02/2023 14:40)","","G-4D003","","",,,,,
"Rentrée Climat : brief","01-09-2022","16:45","01-09-2022","18:00",,"Réservations ReSEdAManciot Sarah(Exporté le:28/02/2023 14:40)","","G-1C004","","",,,,,
"Soutenances PFE","02-09-2022","07:00","02-09-2022","18:00",,"(Exporté le:28/02/2023 14:40)","","G-2A004,G-2A005,G-2B002,G-2B012,G-2B013,G-2C001,G-2C002,G-2C003,G-2C004,G-2C007,G-2C008,G-4D001-Projet,G-4D005-Projet,G-4D007-Projet,G-4D009-Projet,G-4D010-Projet","","",,,,,
"Tutorat d'Energie électrique  - AST","02-09-2022","08:00","02-09-2022","09:00",,"3EM5SDE9_2022_S5_TD_G1TIXADOR Pascal(Exporté le:28/02/2023 14:40)","","G-2B009","","",,,,,
"Tutorat de mecanique - AST","02-09-2022","08:00","02-09-2022","09:00",,"3EM5SDM9_2022_S5_TD_G1MISSEMER Ludovic(Exporté le:28/02/2023 14:40)","","G-2B010","","",,,,,
"Fondamentaux de mathematiques","02-09-2022","08:00","02-09-2022","10:00",,"3EUAFDM8_2022_S5_CTD_G1VEZIER Antoine(Exporté le:28/02/2023 14:40)","","G-4D003","","",,,,,
"RENTREE AST 1A","02-09-2022","09:00","02-09-2022","10:00",,"(Exporté le:28/02/2023 14:40)","","G-1C002-Amphi Coulomb","","",,,,,
"Tutorat d'Energie électrique  - AST","02-09-2022","09:00","02-09-2022","10:00",,"3EM5SDE9_2022_S5_TD_G1TIXADOR Pascal(Exporté le:28/02/2023 14:40)","","G-2B009","","",,,,,
"Tutorat de mecanique - AST","02-09-2022","09:00","02-09-2022","10:00",,"3EM5SDM9_2022_S5_TD_G1MISSEMER Ludovic(Exporté le:28/02/2023 14:40)","","G-2B010","","",,,,,
"Repas soutenances PFE","02-09-2022","09:00","02-09-2022","14:30",,"(Exporté le:28/02/2023 14:40)","","G-0D006-Salle des forums","","",,,,,
"Tutorat de mathématiques - AST","02-09-2022","10:15","02-09-2022","12:15",,"3EM1SMA7_2022_S5_TD_G2GUERIN DUGUE Anne(Exporté le:28/02/2023 14:40)","","G-4D008 TD-info","","",,,,,
"INSCRIPTIONS ETUDIANTS INTERNATIONAUX","02-09-2022","13:00","02-09-2022","16:00",,"(Exporté le:28/02/2023 14:40)","","G-1B016-Projet-Vie étudiante","","",,,,,
"RDVS IA","02-09-2022","13:00","02-09-2022","16:00",,"Réservations ReSEdAMorel Anais(Exporté le:28/02/2023 14:40)","","G-1C003","","",,,,,
"Algorithmique et programmation","02-09-2022","13:30","02-09-2022","15:30",,"3EUAAEP8_2022_S5_BE_G1JOSSEROND CharlesGOUNON Patrick(Exporté le:28/02/2023 14:40)","","G-2A007-info","","",,,,,
"Tutorat de mathématiques - AST","02-09-2022","13:30","02-09-2022","15:30",,"3EM1SMA7_2022_S5_TD_G1VEZIER Antoine(Exporté le:28/02/2023 14:40)","","G-4D003","","",,,,,
"C. Schaeffer","02-09-2022","13:30","02-09-2022","15:30",,"Réservations ReSEdAMairot Corinne(Exporté le:28/02/2023 14:40)","","G-1C004","","",,,,,
"Algorithmique et programmation","02-09-2022","15:45","02-09-2022","17:45",,"3EUAAEP8_2022_S5_BE_G1JOSSEROND CharlesGOUNON Patrick(Exporté le:28/02/2023 14:40)","","G-2A007-info","","",,,,,
"Soutenances PFE","05-09-2022","07:00","05-09-2022","18:00",,"(Exporté le:28/02/2023 14:40)","","G-2A004,G-2A005,G-2B002,G-2B012,G-2B013,G-2C001,G-2C002,G-2C003,G-2C004,G-2C007,G-2C008,G-4D001-Projet,G-4D005-Projet,G-4D007-Projet,G-4D009-Projet,G-4D010-Projet","","",,,,,
"RENTREE 1A","05-09-2022","07:30","05-09-2022","13:00",,"1A-ETU1A-ALT(Exporté le:28/02/2023 14:40)","","G-1A002-Amphi Ampère,G-1C002-Amphi Coulomb,G-0B007-Amphi Bergès","","",,,,,
"BDA accueil 1A","05-09-2022","07:30","05-09-2022","11:00",,"(Exporté le:28/02/2023 14:40)","","G-0B018-Agora","","",,,,,
"Soutenances stages","05-09-2022","08:00","05-09-2022","18:30",,"COMBE Gael(Exporté le:28/02/2023 14:40)","","G-3A012-Enveloppe épaisse,G-3A012-Flambement,G-3A012-Flexion 1&2,G-3A012-Plaque trouée,G-3A012-Presse Instron,G-3A012-Torsion,G-3A012-Vibration portique,G-3A012-Vibration poutre","","",,,,,
"Repas soutenances PFE","05-09-2022","09:00","05-09-2022","14:30",,"(Exporté le:28/02/2023 14:40)","","G-0D006-Salle des forums","","",,,,,
"reunion CDS","05-09-2022","10:00","05-09-2022","12:00",,"Réservations ReSEdABakouche Fadwa(Exporté le:28/02/2023 14:40)","","G-1C004","","",,,,,
"Welcome meeting","05-09-2022","10:00","05-09-2022","12:00",,"M1-SGB-G1M1-SGB-G2DEBUSSCHERE Vincent(Exporté le:28/02/2023 14:40)","","G-2A006","","",,,,,
"Trombino 1A","05-09-2022","11:00","05-09-2022","16:00",,"(Exporté le:28/02/2023 14:40)","","G-1B012-info-vie étudiante","","",,,,,
"Réunion rentrée MAP 1A","05-09-2022","13:30","05-09-2022","14:30",,"Réservations ReSEdABelanger Sophie(Exporté le:28/02/2023 14:40)","","G-1C004","","",,,,,
"RENTREE 2EME ANNEE + SPORT","05-09-2022","14:00","05-09-2022","14:45",,"2A-IEN-EVT2A-ME-EVT2A-SEM-EVT* RIU Delphine* DELINCHANT Benoit* CHUKER Frederi(Exporté le:28/02/2023 14:40)","","G-1C002-Amphi Coulomb","","",,,,,
"RENTREE 2EME ANNEE + SPORT","05-09-2022","14:00","05-09-2022","14:45",,"M1-HCE2A-ALT2A-ASI-EVT2A-HOE-EVT2A-IEE-EVTRIU DelphineDELINCHANT BenoitCHUKER Frederi(Exporté le:28/02/2023 14:40)","","G-0B007-Amphi Bergès","","",,,,,
"RENTREE 2EME ANNEE + SPORT","05-09-2022","14:00","05-09-2022","14:45",,"(Exporté le:28/02/2023 14:40)","","G-1A002-Amphi Ampère","","",,,,,
